	Provider	InstrumentID	InstrumentType	QuoteType	Field	EffectiveAt	Value	Unit	Lineage	CutLabel	UploadedBy	AsAt
145	TraderMade	JPY/GBP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.00779	JPY			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
146	TraderMade	AUD/SGD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.85065	AUD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
147	TraderMade	CZK/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.03855	CZK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
148	TraderMade	USD/ILS	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	3.69935	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
149	TraderMade	ISK/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.00708	ISK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
150	TraderMade	GBP/BRL	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	5.91855	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
151	TraderMade	CAD/AUD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.18386	CAD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
152	TraderMade	CAD/MXN	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	17.45505	CAD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
153	TraderMade	JPY/TRY	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.05899	JPY			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
154	TraderMade	USD/THB	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	32.85	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
155	TraderMade	USD/COP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	4141.11523	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
156	TraderMade	ISK/EUR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.0066	ISK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
157	TraderMade	GBP/KRW	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1458.79626	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
158	TraderMade	RON/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.22181	RON			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
159	TraderMade	GBP/SGD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.68585	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
160	TraderMade	NOK/CAD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.12518	NOK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
161	TraderMade	MXN/ZAR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.70319	MXN			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
162	TraderMade	CHF/ZAR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	18.1041	CHF			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
163	TraderMade	KRW/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.00079	KRW			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
164	TraderMade	GBP/HUF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	378.285	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
165	TraderMade	USD/KWD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.31234	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
166	TraderMade	AED/EUR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.25367	AED			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
167	TraderMade	CHF/SEK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	10.5084	CHF			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
168	TraderMade	MYR/GBP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.19521	MYR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
